timestamp,unallocated_torque[0],unallocated_torque[1],unallocated_torque[2],unallocated_thrust[0],unallocated_thrust[1],unallocated_thrust[2],handled_motor_failure_mask,torque_setpoint_achieved,thrust_setpoint_achieved,actuator_saturation[0],actuator_saturation[1],actuator_saturation[2],actuator_saturation[3],actuator_saturation[4],actuator_saturation[5],actuator_saturation[6],actuator_saturation[7],actuator_saturation[8],actuator_saturation[9],actuator_saturation[10],actuator_saturation[11],actuator_saturation[12],actuator_saturation[13],actuator_saturation[14],actuator_saturation[15]
52600000,3.085006e-08,9.778887e-09,-3.106834e-09,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
52800000,2.6143425e-08,8.1490725e-09,9.400537e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
53000000,2.7008355e-08,-1.2572855e-08,-7.246854e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
53200000,-1.7462298e-09,-5.098991e-08,3.3527613e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
53392000,-6.769551e-08,1.8277206e-08,-1.816079e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
53592000,3.0646333e-08,2.4447218e-09,5.0313247e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
53800000,3.5041012e-08,-2.7008355e-08,-6.8102963e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
54000000,-1.5599653e-08,-3.0733645e-08,2.3646862e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
54200000,-2.764864e-09,2.8172508e-08,2.6018824e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
54400000,1.5133992e-08,2.7939677e-08,4.2753527e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
54600000,-2.0256266e-08,-1.6763806e-08,2.4709152e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
54800000,6.344635e-09,-3.7252903e-09,-8.527422e-09,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
55000000,3.5110133e-08,-6.2864274e-09,-1.693843e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
55200000,-3.1810487e-08,-3.1432137e-08,-3.812602e-09,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
55400000,-1.6967533e-08,4.8195943e-08,-1.3707904e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
55600000,8.684583e-08,3.0733645e-08,6.9558155e-09,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
55800000,-4.7220965e-08,3.259629e-09,-1.36788e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
56000000,-3.6641723e-08,7.3341653e-09,1.15833245e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
56200000,1.6269041e-08,1.3038516e-08,2.3646862e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
56400000,5.820766e-10,1.0593794e-08,-3.083551e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
56600000,3.2032403e-08,-9.313226e-10,-1.3213139e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
56800000,2.7692295e-08,-2.910383e-08,3.2421667e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
57000000,1.02620106e-07,2.3283064e-08,-6.548362e-10,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
57200000,-2.4680048e-08,-8.1490725e-09,-1.0302756e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
57400000,-2.7226633e-08,-2.3283064e-10,2.1842425e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
57592000,5.1688403e-08,2.2584572e-08,-1.9521394e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
57800000,3.943569e-09,-2.910383e-08,-2.0099833e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
58000000,1.839362e-08,-1.2340024e-08,-9.022187e-09,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
58200000,2.5029294e-09,1.5483238e-08,-2.910383e-10,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
58400000,-2.3283064e-08,2.3748726e-08,2.9278453e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
58600000,3.3614924e-09,-1.3853423e-08,-1.0535587e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
58800000,2.2526365e-08,4.48199e-08,-1.6880222e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
59000000,9.604264e-09,3.8882717e-08,-2.5320332e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
59200000,6.245682e-08,1.3504177e-08,-1.2412784e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
59400000,-1.4639227e-08,4.4237822e-09,-1.6603735e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
59600000,3.8417056e-09,-1.6647391e-08,-1.2863893e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
59800000,-3.6874553e-08,1.1874363e-08,-1.6589183e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
60000000,-6.938353e-08,-3.0733645e-08,2.4738256e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
60200000,-6.2864274e-09,-6.2864274e-09,8.731149e-11,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
60400000,-5.7334546e-09,-3.259629e-08,-2.3770554e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
60600000,-1.9499566e-08,3.4924597e-10,1.2456439e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
60800000,-2.3865141e-08,-1.9092113e-08,3.1854142e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
60992000,-4.4019544e-09,4.8894435e-09,-3.6525307e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
61200000,-9.5926225e-08,-1.2340024e-08,1.6472768e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
61400000,6.3562766e-08,8.1490725e-09,7.770723e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
61600000,7.4598574e-08,6.4028427e-09,1.2369128e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
61800000,-5.995389e-09,-2.142042e-08,1.2048986e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
62000000,-1.1816155e-08,-1.8626451e-09,-3.929017e-09,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
62192000,2.3428584e-08,-1.1175871e-08,-6.2427716e-09,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
62400000,-1.2194505e-08,3.4924597e-09,1.2019882e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
62600000,-3.1432137e-09,-2.7939677e-09,2.509205e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
62800000,-3.6961865e-09,2.4330802e-08,2.3152097e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
63000000,2.773595e-08,-2.6077032e-08,-1.839544e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
63200000,-2.5247573e-09,-4.1211024e-08,5.3732947e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
63400000,-7.4040145e-08,-2.561137e-09,1.1801603e-08,0.0,0.0,-1.1920929e-07,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
63600000,3.1548552e-08,-1.1816155e-08,-2.3603207e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
63800000,5.448237e-08,-2.0489097e-08,2.4563633e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
64000000,6.443588e-08,-1.0244548e-08,-1.0739313e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
64200000,6.519258e-09,-9.313226e-09,2.6522684e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
64400000,2.9991497e-08,-3.585592e-08,2.377783e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
64600000,2.4330802e-08,-1.1641532e-08,-7.3050614e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
64800000,-8.35862e-08,-1.14087015e-08,4.5547495e-09,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
65000000,9.080395e-08,-7.21775e-09,-1.3722456e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
65200000,-9.755604e-08,2.0954758e-08,2.8318027e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
65400000,9.604264e-09,1.9324943e-08,-4.161484e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
65600000,-2.788147e-08,-1.46683306e-08,-2.05182e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
65800000,-3.2538082e-08,9.778887e-09,2.73576e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
66000000,-5.2852556e-08,-1.816079e-08,3.9304723e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
66200000,-5.9546437e-08,-9.546056e-09,3.8708095e-09,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
66400000,-1.3911631e-08,1.46683306e-08,1.70985e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
66600000,4.3248292e-08,2.0721927e-08,6.548362e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
66800000,-1.3015324e-08,1.6298145e-08,1.6532795e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
67000000,-7.392373e-09,-4.8894435e-08,3.6379788e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
67200000,-3.5506673e-08,-3.585592e-08,2.890738e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
67400000,5.3085387e-08,9.313226e-10,-6.868504e-09,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
67600000,6.9267116e-09,-4.0745363e-09,3.6961865e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
67800000,-5.948823e-08,-6.9849193e-10,1.2541932e-08,0.0,0.0,-1.1920929e-07,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
68000000,-4.551839e-08,2.7939677e-09,8.440111e-10,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
68200000,9.9345925e-08,1.5599653e-08,-2.561137e-09,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
68400000,4.6449713e-08,2.7241185e-08,-1.6400008e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
68600000,5.988113e-08,-2.7939677e-09,9.604264e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
68800000,-6.2485924e-08,-3.7252903e-09,2.2118911e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
69000000,-5.721813e-08,-3.061723e-08,-1.830631e-08,0.0,0.0,-1.1920929e-07,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
69200000,-3.061723e-08,3.1432137e-08,5.0640665e-09,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
69400000,-3.2770913e-08,2.514571e-08,5.820766e-09,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
69600000,-3.5914127e-08,3.9115548e-08,2.0445441e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
69800000,-5.7945726e-08,7.450581e-09,2.1755113e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
70000000,1.7811544e-08,1.1175871e-08,-2.1318556e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
70200000,-3.3003744e-08,1.8859282e-08,-4.1909516e-09,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
70400000,-1.6501872e-08,1.5133992e-08,4.2069587e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
70600000,9.604264e-09,2.2468157e-08,1.3184035e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
70800000,1.2478267e-09,3.0035153e-08,-1.6916601e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
71000000,-1.7695129e-08,-2.142042e-08,1.4639227e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
71200000,-1.6043487e-09,-3.0966476e-08,4.802132e-10,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
71400000,2.1253072e-08,2.910383e-08,2.8405339e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
71592000,2.2380846e-08,6.519258e-09,-1.306762e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
71800000,-3.4517143e-08,2.0489097e-08,-2.568413e-09,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
72000000,-4.780304e-09,-3.5157427e-08,-1.36788e-09,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
72192000,-2.8172508e-08,-5.820766e-10,1.4988473e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
72400000,2.211982e-08,2.2118911e-08,9.19681e-09,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
72600000,9.4412826e-08,3.2712705e-08,-5.9517333e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
72800000,3.608875e-08,-2.6077032e-08,2.8063369e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
73000000,-5.7043508e-09,3.8417056e-09,-2.0612788e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
73200000,6.200571e-08,-2.3981556e-08,-1.4872057e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
73400000,-6.984919e-08,-2.561137e-09,2.8812792e-09,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
73600000,-2.6426278e-08,-3.8708095e-09,1.0149961e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
73800000,-3.715104e-08,1.3271347e-08,-1.9113031e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
74000000,-5.763195e-08,2.165325e-08,1.0605618e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
74200000,1.4319085e-08,-2.0023435e-08,-3.2989192e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
74400000,4.5867637e-08,-2.2584572e-08,-1.8182618e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
74592000,1.8626451e-08,-2.2118911e-09,-9.982614e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
74800000,-6.641494e-08,1.9324943e-08,-1.5337719e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
75000000,-6.4232154e-08,2.2584572e-08,-1.7578714e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
75200000,-7.6252036e-08,-1.14087015e-08,1.1350494e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
75400000,2.7939677e-09,2.9220246e-08,-1.132139e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
75600000,3.8271537e-09,-1.7462298e-08,-2.5436748e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
75800000,1.4202669e-08,1.44355e-08,-1.2369128e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
75992000,-1.5264959e-08,-1.7054845e-08,6.4610504e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
76200000,-2.0954758e-09,-1.9441359e-08,-2.4869223e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
76400000,1.1059456e-09,4.0745363e-09,-3.5506673e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
76600000,4.4412445e-08,3.7020072e-08,-1.846638e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
76800000,-7.0940587e-09,4.656613e-10,3.2232492e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
77000000,-6.2340405e-08,-1.792796e-08,-6.91216e-11,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
77200000,2.8594513e-08,-1.5366822e-08,-5.820766e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
77400000,4.2535248e-08,2.3283064e-09,2.339948e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
77600000,-8.8941306e-08,-2.339948e-08,1.7433194e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
77800000,1.8888386e-08,-3.282912e-08,-1.4235411e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
78000000,4.9418304e-08,2.3515895e-08,-1.6225385e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
78200000,6.6298526e-08,-3.3760443e-08,-1.6822014e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
78400000,-2.73576e-09,-1.5599653e-08,1.2335022e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
78600000,-8.65839e-09,6.519258e-09,-1.2034434e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
78792000,6.8277586e-08,-1.9790605e-08,2.5436748e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
79000000,1.5454134e-08,-1.0477379e-08,-3.76167e-09,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
79200000,-5.0407834e-08,-3.1664968e-08,-1.5599653e-08,0.0,0.0,-5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
79400000,-2.0314474e-08,8.265488e-09,-2.5538611e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
79600000,-2.7532224e-08,1.3969839e-08,-6.7520887e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
